Arg,Val
0,5.87223646274822
0.125,5.81862508312848
0.25,5.7627816654656
0.375,5.70477998762377
0.5,5.6446997110834
0.625,5.58262607425588
0.75,5.51864956294657
0.875,5.45286555936915
1,5.38537397121066
1.125,5.31627884233584
1.25,5.24568794680247
1.375,5.17371236793417
1.5,5.10046606426499
1.625,5.02606542422949
1.75,4.95062881152307
1.875,4.87427610310005
2,4.79712822181054
2.125,4.7193066657021
2.25,4.64093303602791
2.375,4.56212856600945
2.5,4.48301365239921
2.625,4.40370739187695
2.75,4.32432712429183
2.875,4.24498798473251
3,4.16580246636822
3.125,4.08687999595563
3.25,4.00832652384975
3.375,3.93024413029235
3.5,3.85273064967796
3.625,3.77587931441714
3.75,3.69977841992838
3.875,3.62451101219494
4,3.55015459922134
4.125,3.47678088761642
4.25,3.40445554541676
4.375,3.33323799214569
4.5,3.26318121698039
4.625,3.19433162577265
4.75,3.1267289175387
4.875,3.06040599090034
5,2.99538888082474
5.125,2.93169672587307
5.25,2.86934176603098
5.375,2.80832937105561
5.5,2.74865809913646
5.625,2.69031978553062
5.75,2.63329966069813
5.875,2.57757649733035
6,2.52312278553423
6.125,2.46990493530904
6.25,2.41788350532978
6.375,2.36701345693342
6.5,2.31724443209166
6.625,2.26852105404687
6.75,2.22078324918684
6.875,2.17396658864002
7,2.12800264798544
7.125,2.08281938339204
7.25,2.03834152243011
7.375,1.9944909677337
7.5,1.95118721163788
7.625,1.9083477598676
7.75,1.86588856231773
7.875,1.82372444893476
8,1.78176956869154
8.125,1.73993782963604
8.25,1.69814333799439
8.375,1.65630083431695
8.5,1.61432612467376
8.625,1.5721365049329
8.75,1.529651176191
8.875,1.48679164947016
9,1.4434821378489
9.125,1.39964993425691
9.25,1.35522577323288
9.375,1.31014417502294
9.5,1.26434377048206
9.625,1.21776760533289
9.75,1.17036342243543
9.875,1.12208392082524
10,1.07288699038854
10.125,1.02273592115792
10.25,0.971599586331936
10.375,0.919452598246054
10.5,0.866275436649407
10.625,0.812054548771756
10.75,0.756782420797203
10.875,0.700457620494767
11,0.643084810890456
11.125,0.584674735000229
11.25,0.525244171777676
11.375,0.464815863563613
11.5,0.40341841545661
11.625,0.341086167153005
11.75,0.277859037931695
11.875,0.213782345582238
12,0.148906600194111
12.125,0.083287273839705
12.25,0.0169845472932211
12.375,-0.0499369649682641
12.5,-0.11740851013736
12.625,-0.185357511386891
12.75,-0.253707899598214
12.875,-0.322380460909975
13,-0.391293198420423
13.125,-0.460361706314888
13.25,-0.529499554636756
13.375,-0.598618682875505
13.5,-0.667629800509247
13.625,-0.736442792612032
13.75,-0.8049671286178
13.875,-0.873112272323634
14,-0.940788091214714
14.125,-1.00790526320211
14.25,-1.07437567888234
14.375,-1.14011283745423
14.5,-1.2050322344638
14.625,-1.26905173959188
14.75,-1.33209196275117
14.875,-1.39407660681971
15,-1.45493280540548
15.125,-1.51459144411223
15.25,-1.57298746385893
15.375,-1.63006014489389
15.5,-1.68575337024007
15.625,-1.74001586740834
15.75,-1.79280142732189
15.875,-1.84406909950525
16,-1.89378336270647
16.125,-1.94191427023921
16.25,-1.98843756945309
16.375,-2.03333479486433
16.5,-2.07659333460461
16.625,-2.11820646997296
16.75,-2.15817338800291
16.875,-2.19649916708519
17,-2.23319473581272
17.125,-2.26827680534098
17.25,-2.30176777568057
17.375,-2.33369561646066
17.5,-2.36409372282063
17.625,-2.39300074720258
17.75,-2.42046040792837
17.875,-2.44652127555179
18,-2.47123653807769
18.125,-2.49466374623613
18.25,-2.51686454008965
18.375,-2.53790435833542
18.5,-2.55785213174078
18.625,-2.57677996222072
18.75,-2.59476278912797
18.875,-2.61187804438103
19,-2.62820529810224
19.125,-2.64382589647647
19.25,-2.6588225935711
19.375,-2.67327917888
19.5,-2.68728010236712
19.625,-2.70091009879049
19.75,-2.71425381308308
19.875,-2.72739542855502
20,-2.7404182996608
20.125,-2.75340459104601
20.25,-2.76643492455087
