Arg,Val
0,5.95795914140326
0.125,5.99246447930528
0.25,6.02601177457578
0.375,6.05859624400095
0.5,6.09021251944734
0.625,6.12085474835657
0.75,6.15051669744537
0.875,6.17919185871972
1,6.20687355690817
1.125,6.23355505742106
1.25,6.25922967394952
1.375,6.28389087483064
1.5,6.30753238732309
1.625,6.33014829896039
1.75,6.35173315517721
1.875,6.37228205243661
2,6.39179072612374
2.125,6.41025563251302
2.25,6.42767402416176
2.375,6.4440440181327
2.5,6.45936465650084
2.625,6.47363595865637
2.75,6.48685896497427
2.875,6.49903577148259
3,6.5101695552252
3.125,6.52026459007959
3.25,6.52932625285713
3.375,6.53736101958051
3.5,6.54437645190097
3.625,6.55038117368601
3.75,6.55538483787609
3.875,6.55939808377569
4,6.56243248501043
4.125,6.56450048844594
4.25,6.5656153444274
4.375,6.5657910287587
4.5,6.56504215689812
4.625,6.56338389090262
4.75,6.56083183970425
4.875,6.55740195335051
5,6.55311041188506
5.125,6.54797350958508
5.25,6.54200753530789
5.375,6.5352286497308
5.5,6.52765276029472
5.625,6.51929539468419
5.75,6.51017157369302
5.875,6.50029568433659
6,6.48968135407829
6.125,6.47834132703892
6.25,6.46628734305358
6.375,6.4535300204317
6.5,6.44007874326087
6.625,6.42594155407591
6.75,6.4111250526897
6.875,6.39563430195258
7,6.37947274117296
7.125,6.36264210789265
7.25,6.34514236866712
7.375,6.32697165945332
7.5,6.30812623615648
7.625,6.288600435832
7.75,6.26838664898072
7.875,6.24747530331394
8,6.22585485930129
8.125,6.20351181774759
8.25,6.1804307395774
8.375,6.15659427793547
8.5,6.13198322264101
8.625,6.10657655696155
8.75,6.08035152660043
8.875,6.05328372071953
9,6.02534716474773
9.125,5.9965144246543
9.25,5.96675672229722
9.375,5.93604406138852
9.5,5.90434536355246
9.625,5.87162861388947
9.75,5.8378610153975
9.875,5.80300915154522
10,5.76703915623704
10.125,5.72991689035981
10.25,5.69160812405459
10.375,5.65207872381498
10.5,5.61129484347619
10.625,5.5692231181265
10.75,5.5258308599453
10.875,5.48108625494989
11,5.43495855961598
11.125,5.38741829632606
11.25,5.33843744659367
11.375,5.2879896410119
11.5,5.23605034487986
11.625,5.18259703847253
11.75,5.12760939093636
11.875,5.07106942681576
12,5.01296168424383
12.125,4.95327336386464
12.25,4.8919944675931
12.375,4.8291179263627
12.5,4.76463971606054
12.625,4.69855896090254
12.75,4.63087802356014
12.875,4.56160258141179
13,4.49074168835884
13.125,4.41830782171512
13.25,4.34431691375189
13.375,4.26878836755607
13.5,4.19174505693703
13.625,4.11321331019768
13.75,4.03322287766704
13.875,3.95180688297438
14,3.86900175812858
14.125,3.78484716255034
14.25,3.69938588628852
14.375,3.61266373773561
14.5,3.52472941623889
14.625,3.43563437008555
14.75,3.34543264041831
14.875,3.2541806917153
15,3.16193722954183
15.125,3.06876300635256
15.25,2.97472061619023
15.375,2.87987427919054
15.5,2.78428961686229
15.625,2.6880334191668
15.75,2.59117340447038
15.875,2.49377797348898
16,2.39591595838302
16.125,2.29765636819479
16.25,2.19906813184834
16.375,2.10021983995408
16.5,2.00117948667581
16.625,1.90201421292754
16.75,1.8027900521705
16.875,1.70357168007742
17,1.60442216932119
17.125,1.50540275072915
17.25,1.40657258202103
17.375,1.30798852532019
17.5,1.20970493459217
17.625,1.1117734541234
17.75,1.01424282910603
17.875,0.917158729341502
18,0.820563587017733
18.125,0.724496449450705
18.25,0.628992847613452
18.375,0.534084681201992
18.5,0.439800120910838
18.625,0.346163528509505
18.75,0.25319539522699
18.875,0.160912298863494
19,0.0693268799584372
19.125,-0.0215521627486245
19.25,-0.111720057421823
19.375,-0.201175924750706
19.5,-0.289922724139237
19.625,-0.377967180608201
19.75,-0.465319692653549
19.875,-0.551994221399066
20,-0.6380081614765
20.125,-0.723382194159341
20.25,-0.808140123367541
20.375,-0.892308695248851
20.5,-0.975917402127985
20.625,-1.05899827169684
