Arg,Val
0,-0.265632798669056
0.125,-0.358232130595072
0.25,-0.449875544951877
0.375,-0.540475822779385
0.5,-0.629947449541232
0.625,-0.718206951502445
0.75,-0.80517322228415
0.875,-0.890767838113365
1,-0.974915360349399
1.125,-1.05754362393834
1.25,-1.13858401052322
1.375,-1.21797170501924
1.5,-1.29564593455035
1.625,-1.3715501887357
1.75,-1.4456324204102
1.875,-1.51784522596409
2,-1.58814600458935
2.125,-1.65649709582744
2.25,-1.72286589492111
2.375,-1.78722494558363
2.5,-1.84955200990998
2.625,-1.90983011526697
2.75,-1.96804757811139
2.875,-2.02419800479706
3,-2.07828026954251
3.125,-2.13029846984029
3.25,-2.18026185969596
3.375,-2.22818476118967
3.5,-2.27408645495441
3.625,-2.31799105026336
3.75,-2.3599273355123
3.875,-2.3999286099728
4,-2.43803249777625
4.125,-2.47428074516823
4.25,-2.50871900214627
4.375,-2.54139658966169
4.5,-2.5723662536277
4.625,-2.60168390703067
4.75,-2.62940836148965
4.875,-2.65560104965012
5,-2.68032573983215
5.125,-2.7036482443795
5.25,-2.72563612317574
5.375,-2.74635838380508
5.5,-2.76588517984027
5.625,-2.78428750873678
5.75,-2.80163691080206
5.875,-2.81800517069119
6,-2.8334640228554
6.125,-2.84808486233799
6.25,-2.86193846227403
6.375,-2.87509469940464
6.5,-2.88762228886583
6.625,-2.8995885294538
6.75,-2.91105906050637
6.875,-2.9220976314711
7,-2.93276588515776
7.125,-2.94312315559489
7.25,-2.95322628132793
7.375,-2.96312943491109
7.5,-2.97288396925565
7.625,-2.98253828140621
7.75,-2.99213769422187
7.875,-3.00172435634381
8,-3.01133716073335
8.125,-3.02101168196672
8.25,-3.03078013237448
8.375,-3.04067133701526
8.5,-3.05071072737627
8.625,-3.06092035359657
8.75,-3.0713189149148
8.875,-3.08192180795018
9,-3.09274119233622
9.125,-3.1037860731393
9.25,-3.1150623994113
9.375,-3.12657317814568
9.5,-3.13831860283148
9.625,-3.1502961957287
9.75,-3.16250096292345
9.875,-3.17492556116028
10,-3.18756047539486
10.125,-3.20039420596065
10.25,-3.21341346420078
10.375,-3.2266033753791
10.5,-3.23994768765431
10.625,-3.2534289858773
10.75,-3.26702890895407
