Coord,uscStruct_vals
41,NaNNaNi
41.25,NaNNaNi
41.5,NaNNaNi
41.75,NaNNaNi
42,NaNNaNi
42.25,NaNNaNi
42.5,NaNNaNi
42.75,NaNNaNi
43,NaNNaNi
43.25,NaNNaNi
43.5,NaNNaNi
43.75,NaNNaNi
44,NaNNaNi
44.25,NaNNaNi
44.5,NaNNaNi
44.75,NaNNaNi
45,NaNNaNi
45.25,NaNNaNi
45.5,NaNNaNi
45.75,NaNNaNi
46,NaNNaNi
46.25,NaNNaNi
46.5,NaNNaNi
46.75,NaNNaNi
47,NaNNaNi
47.25,NaNNaNi
47.5,NaNNaNi
47.75,NaNNaNi
48,NaNNaNi
48.25,NaNNaNi
48.5,NaNNaNi
48.75,NaNNaNi
49,NaNNaNi
49.25,NaNNaNi
49.5,NaNNaNi
49.75,NaNNaNi
50,0.0590605428136919+1.10755712022161i
50.25,-0.298040426902547+2.19824279352542i
50.5,-0.256817033846945-0.0645080811641967i
50.75,-0.757427315371528-1.48309181164754i
51,-1.25671010574579+0.247823962563087i
51.25,-0.843665898294331-0.649727171973403i
51.5,-0.277469475606201-1.08847395862309i
51.75,0.952328742123305-4.24189636973977i
52,-0.164547442542665-1.36051771961956i
52.25,-0.0800690997481169-1.80709005143865i
52.5,-0.328340911608977+0.326565594703863i
52.75,0.79979198600921+2.32852445518531i
53,-1.0999520357671+2.52007621451854i
53.25,-1.67474672194141+1.06103817363939i
53.5,-0.941513525373219+1.07631377086577i
53.75,0.912321643931879-0.538753874021305i
54,2.1392435690466-1.13231537176715i
54.25,0.104459987996527+0.211132828432272i
54.5,-0.0223881582374529-0.684111485501099i
54.75,0.00564600330755194+0.0374998033306078i
55,-1.38746208993419-0.947678273730882i
55.25,-0.180523421612219+1.57941861321731i
55.5,-1.89765294130012+0.665355570371384i
55.75,0.188455405253257+0.0133910394636797i
56,-0.124573133092353-1.08791657187916i
56.25,3.25216581918441-0.33357260435234i
56.5,2.4637452706438-0.413500125940986i
56.75,1.49780351758562+0.616335052872211i
57,0.457802963534333+0.172644687097027i
57.25,-0.344230977583519+0.876486398288818i
57.5,-0.396810094693414-0.794040712905378i
57.75,0.851758866099995-0.196600639751377i
58,-0.75379672570791-0.511548426168462i
58.25,-2.24569583091907+0.00408758229623052i
58.5,0.281920819949771-1.44594179745582i
58.75,0.434586450506111-1.0918050510936i
59,0.767549590168983-0.119219027613232i
59.25,-0.75361190508827+0.740383374055056i
59.5,-0.847852553799105-0.947035569723444i
59.75,0.0588549554388492+0.465924419928736i
60,0.0900127535764951+0.0310444606454597i
60.25,0.398210567128457+0.249015460057728i
60.5,-1.02483414333553-0.258389943009769i
60.75,0.184691023779291-1.87219769834866i
61,-0.939077857898446+0.0877400057621421i
61.25,-1.85635438862259-1.61063189444627i
61.5,-1.23387562075616+0.0771936775131122i
61.75,-1.08384241850227+1.41350924058626i
62,-0.332420884587211+0.0559524767707088i
62.25,1.41676831323072-0.981706486440588i
62.5,1.18985971674102+1.18954261643709i
62.75,1.04212457621933+1.70530343498532i
63,0.277881418075059+0.0695373887225091i
63.25,-0.459619348050149-0.101997459515398i
63.5,-0.268888537146788+0.0167800883410395i
63.75,0.858632210675744-0.00949784203524491i
64,-1.3759142583764-0.149609675245252i
64.25,-2.20509195026118+0.528845073240905i
64.5,0.643555239840488+1.09310675813619i
64.75,0.37043516083306-1.38166015950244i
65,-0.892573402312341+0.136907210553478i
65.25,1.21963500147659-0.0755627705668992i
65.5,-0.919851736045176+0.257587160061336i
65.75,-2.93937446308164+0.944802338269313i
66,-0.953145945303026+2.254837207176i
66.25,-1.60983142442369+0.277440596396096i
66.5,-0.495732960259777+0.484255804073337i
66.75,-0.775445343421254-1.83655177595613i
67,0.167276483217526-1.3348694257414i
67.25,1.83081579690298-1.56753372479903i
67.5,0.72890503736622-1.23566300661943i
67.75,-0.125089442121083+0.760500508699888i
68,0.219683736105322-1.29699258793485i
68.25,2.88831953312386-0.838696826965603i
68.5,1.00850794779454+0.237362513216592i
68.75,-0.368485749931893+2.07220559475781i
69,-2.35801362669524-1.56109452186916i
69.25,-0.267545818600573-0.647164897410974i
69.5,-0.761484184652535-1.34917753629634i
69.75,-0.259207341803879-0.0354443165094136i
70,1.06595027054676-1.34161518182785i
70.25,0.871079802411818+1.00125793053727i
70.5,1.2561523636166+1.14277263437976i
70.75,-0.625193531941834+0.740000331318537i
71,0.276818410686236+1.16642098276439i
71.25,0.824122884686798-1.64927473920467i
71.5,-0.987025304344254-0.482347157216706i
71.75,-1.32819901642461-0.0111515857306433i
72,-1.57209048198445+0.417905401630438i
72.25,-1.71197067202908+0.780113686027517i
72.5,-1.17093269294936+0.333073062136558i
72.75,-0.243434598605556-1.97067241895658i
73,-0.335076202832129-0.805083980642268i
73.25,-1.2911968303392-1.69618006740296i
73.5,-1.13681775046743-0.0444356916633264i
73.75,-0.897250589530957-0.665688510164756i
74,-0.219350137001349-0.600879239776116i
74.25,1.73495592356958+0.328084694119976i
74.5,0.26226589259306-0.0182592981698093i
74.75,-1.14968255736904+0.87823480263844i
75,-0.211784648608123+1.3548259968027i
75.25,0.659706110701846+0.509178263102244i
75.5,0.805946455475124+0.991541081563909i
75.75,-0.444400453102266-1.87201536662619i
76,-0.831317461504167+0.370490137568373i
76.25,-0.215357196805844-0.273694452974796i
76.5,0.0174237409075656-0.567326020821722i
76.75,0.811016321212712+0.785015611066304i
77,1.88901236492412-0.222768893711701i
77.25,1.01839186314149+0.505660184629651i
77.5,1.1216766671396-1.59254234244448i
77.75,0.728365972993387+0.00727606521678181i
78,0.0974845611441917-1.24666349291821i
78.25,1.37352664118327-0.0454493056159623i
78.5,-0.284756494932601-1.28326098604887i
78.75,2.16089351777115-1.07421938200224i
79,1.769721820227-0.767525901313372i
79.25,0.340573748828808-1.82751862087737i
79.5,0.876303038566553-0.852358848760878i
79.75,1.64276279089973-0.679042580547666i
80,0.724026519895696+0.660992290866081i
80.25,-0.372681983159592-2.52050545489689i
80.5,0.0238572253629729+0.0854475783080998i
80.75,-0.274602158772802-0.0118623019513553i
81,-0.114948151194581-0.0345246145271598i
81.25,1.46149788536952+0.439747933175234i
81.5,0.541930460799583+1.69032166493633i
81.75,0.446191164783498+1.04488174405401i
82,-0.943662975961718-0.238219911225029i
82.25,-1.01590587100257-1.13648715026918i
82.5,0.737535306125549-0.689654728094578i
82.75,-0.491005370512418+0.38058350982627i
83,-0.882269584795465+0.189750360364364i
83.25,1.19266387992987-0.503232328673804i
83.5,0.945216551959401-1.58466335575047i
83.75,0.71232858008545-0.638411503792899i
84,-3.55863383697209+0.393053741085708i
84.25,-1.22337783836712-0.0774187147018111i
84.5,-1.37014203090282+0.403211062205167i
84.75,-0.172735138900512-1.49936612606176i
85,-0.320613825068798-0.754341478561508i
85.25,-0.554241998799246-0.485271597190788i
85.5,1.76900086191769+0.354912215759562i
85.75,1.77404448039779-0.168379798102747i
86,0.649707388536147-1.32038119799165i
86.25,0.806133262383482-2.19701994156251i
86.5,0.77113504873956-1.64950432596819i
86.75,0.497636325419696-0.808236788180261i
87,-1.05201837966058+1.76217670686111i
87.25,-1.83603039327468+0.865212003218402i
87.5,-1.08859034401577+1.92331267744812i
87.75,-0.462358086765247+0.079499611689447i
88,-1.79017054111883+0.190711375599454i
88.25,-1.13167873128264-1.22908637873487i
88.5,-0.864678397994942-0.327665868965303i
88.75,0.408150188344646+0.511159509617584i
89,-1.00653291511597+0.26919318582283i
89.25,0.295066730867894+0.462749221135238i
89.5,0.494325274648923+0.0322445369147351i
89.75,-0.868736164181768+1.49012155407339i
90,0.333048810312386+0.286376814756852i
90.25,-0.487916686125817+0.15990877268785i
90.5,-1.42500096712147+1.26663130538813i
90.75,-1.14631669386405+1.99309499564293i
91,-0.864273216895247+1.31549731891998i
91.25,-1.22520992219567+1.06034298963625i
91.5,-0.544018934492381+1.39107533841411i
91.75,-0.35999330822046+0.141167109068862i
92,-0.647520984724544+0.0636625441368911i
92.25,0.00582166976944726+1.87254783294656i
92.5,0.195327994703088+1.35033809840636i
92.75,0.122021106289735+1.92524189417023i
93,-1.69515155923802+0.528891116904822i
93.25,0.840825593645483-0.0560212877485519i
93.5,1.27477527552343+2.03314234039254i
93.75,0.435720430058783+1.04887849460591i
94,1.35752314528353+1.50375805092833i
94.25,2.90490399355906+2.2990970865305i
94.5,1.36701299500192+1.44435230232658i
94.75,2.60411399414165+1.71732646171678i
95,1.91277637552892+1.14621393060493i
95.25,1.77598593034542-2.22321886767595i
95.5,0.327418037022371-0.217822301178411i
95.75,-0.537663799845549-1.02247825676167i
96,-0.987246144381648-0.311064736765737i
96.25,0.554174853277635-0.298119851245521i
96.5,0.121149816355944+0.38926214794321i
96.75,-0.395812673223764-0.12481044559222i
97,-0.501329168878162-1.33922550900754i
97.25,0.640600201185307+1.34006488931295i
97.5,1.59797612570747-0.305941389617159i
97.75,1.4422666837074+0.0151167283632055i
98,-0.685871821329378+2.07246087351956i
98.25,0.783069125144934+0.789361924574632i
98.5,-0.113508518884252-0.0123487946997036i
98.75,-1.51401737572306+1.03992809918437i
99,-0.477259375274709+0.452840317110459i
99.25,-0.0103300338777776-1.09703938092543i
99.5,-1.45527676502835-0.248340116043845i
99.75,-2.11929966717077-0.916519269338178i
100,-0.133951024205585+1.6709242783023i
100.25,-1.43316782139558+0.412118004203475i
100.5,-0.814430007196165+1.36782936885924i
100.75,0.203263056154333-0.415794642285762i
101,-1.36425081039513+2.26454651394102i
101.25,0.0661554383974523+1.41064911884213i
101.5,0.48571456634055-0.522601925568961i
101.75,0.026929497326056+1.02148769665801i
102,1.82544422717345+1.24546643090593i
102.25,-0.100499212178606+1.39991449228209i
102.5,1.87366291388433+0.658858312962437i
102.75,1.78482590099275+0.18975778641033i
103,-0.693817766574439+0.895739456683278i
103.25,-2.7567809295108+1.03366494994994i
103.5,-2.66908515130501+1.0591683188187i
103.75,-1.45994698666541-1.25745971239419i
104,-1.23713300416516-0.55744597120702i
104.25,-2.13566788534996-3.0763770619362i
104.5,-0.236718025795238+0.00387288745916348i
104.75,1.09857267825661-1.51103609126102i
105,-0.619278554514657-1.6698546810819i
105.25,-0.815599310801752-2.73116435014582i
105.5,-1.09260741679283-0.796917465743832i
105.75,-1.13864055143851-1.00321585284748i
106,-1.37900376335629-0.786298867118082i
106.25,-1.1940063878209+0.118516693120669i
106.5,0.987630125669355-0.061931141961135i
106.75,-0.246499192002899-0.663725423902737i
107,-0.493813172435982+0.880602716052511i
107.25,-1.51360546663033+0.442246181781426i
107.5,0.250283356023161+0.338601695838389i
107.75,-0.563112350589053-0.435873424425052i
108,0.944211717254112+1.00431082065703i
108.25,0.163482711259239-0.0521786263412809i
108.5,0.61270685748093-0.473502989297281i
108.75,1.03969848525398-0.184650784576503i
109,1.07334775301168+0.910413373384766i
109.25,1.11503030240764+0.623793755793833i
109.5,-0.107518775841393+1.99665014305044i
109.75,0.163183584581706+0.905740900552246i
110,-0.504746738582073+0.509811492792102i
110.25,-0.980285205100855-0.37060311817012i
110.5,0.00824060938617494-0.256360820216983i
110.75,-0.323937791757598-1.82197926483406i
111,-0.800604903142459-0.133483293505258i
111.25,0.0373922425131256+1.26503906683419i
111.5,-0.306809324864705-1.09608789243156i
111.75,0.24549881265901-0.283864275007454i
112,0.490351748546145-0.732247037701391i
112.25,0.0413563657775473+0.318109250823485i
112.5,0.0712399608874066-0.617088740254241i
112.75,-0.356162842233815+0.731727790509849i
113,-0.804065031460048-0.237094543085624i
113.25,-0.959234147245561-0.936900970026251i
113.5,1.79570401772863+0.44114607174681i
113.75,0.676008291362441+0.208677818240705i
114,1.18903536021511+1.00662651368829i
114.25,1.09867252640661+0.166749107791099i
114.5,0.600857879815077+1.06873871862405i
114.75,-1.10541763047462-0.220308642824837i
115,0.614370530467327-0.617041543723271i
115.25,-0.638934993478679+0.0578915690495031i
115.5,-1.20225254914212-0.55617566825011i
115.75,-0.0625338661298208+0.336975432062415i
116,2.76673154736367+1.03212348125429i
116.25,1.19518203400021+0.659104076203791i
116.5,-0.516961593389727-2.83271509911277i
116.75,-0.520006283031664-0.151143040363384i
117,-0.380059837666586+0.363132320433463i
117.25,-1.45399451488476-0.17912727015298i
117.5,-1.04986511463456+0.43723533825515i
117.75,1.26941511051965+1.71350244331113i
118,0.080050363310725+0.975898262632284i
118.25,0.947471345180115+2.57701574086559i
118.5,0.121411814555351+2.62059517179923i
118.75,0.705809601706495+1.69358241667008i
119,1.94453667953027+0.585006023842299i
119.25,0.908248271580998-1.33608914060599i
119.5,-1.34789318389851+0.559456561951351i
119.75,-0.440439580403203-0.77242893629974i
120,-1.76090237381341+0.792238596485081i
120.25,0.521840089701329+0.392476859377653i
120.5,-0.256445874644373-0.197041732462955i
120.75,-0.619640672381181-0.191006525607405i
121,-0.932526329729974-1.35524184723591i
121.25,-0.852597336751469-0.669987536889052i
121.5,0.236664668097187-0.517796987383727i
121.75,-0.857558121803204+0.678988945729644i
122,-0.211956153175327+0.867241195942366i
122.25,1.12349749147305+0.0183222007029284i
122.5,1.72952955608439+0.807793753126901i
122.75,0.456820451892149+2.13477255249225i
123,0.702973435135055+0.377184196990597i
123.25,-0.063694540261844+0.751206379540882i
123.5,0.887648531688305-1.5382355662711i
123.75,1.30236781560812-1.39703116627611i
124,1.32169745022153-0.256138969522867i
124.25,-0.0677030008011357-0.00853021585808569i
124.5,-2.47839101104896+1.76984160057085i
124.75,-0.874799864436217+0.82373476834806i
125,-1.07037088444179+0.76944445098007i
125.25,-2.64760655213256-0.0025713922837059i
125.5,-0.561435091586443-0.370296457570726i
125.75,-1.26109888350317+0.112751841821037i
126,-1.43411267213327-0.601621894312645i
126.25,-0.0427991864914655-1.80036331707476i
126.5,-0.245202975331246-0.273304410939108i
126.75,-0.173801746756592-0.0683475970767885i
127,-0.656690609468564-0.107501574595888i
127.25,1.85973367706745+0.55364344351325i
127.5,1.23107391939035+2.02067521532577i
127.75,0.965815523923463-0.380688091549178i
128,0.686901517860287+1.02960176322378i
128.25,-0.536757550429062-0.0632955857370314i
128.5,0.489844647778046-0.456558155922591i
128.75,-0.704325864470147-0.498002760576385i
129,-0.527593308178281+1.21348405231503i
129.25,-2.4536174159316-1.81334882338223i
129.5,-2.01940132730724-1.79154133021092i
129.75,-2.64120820368497-1.98406818946091i
130,-2.48611730892354-2.02451063997312i
130.25,-1.95989177165712-2.42647420569874i
130.5,-1.07878108626145-2.71657988949572i
130.75,-0.948827586591371-0.504649709701237i
131,0.299176187075844-0.252932977753684i
131.25,-1.95355672770721+1.21691835541387i
131.5,-0.387889622494165-0.256718492535231i
131.75,-1.03196155047887+1.27105942506037i
132,-0.0308314020768036+0.241624035288615i
132.25,1.06674945196117-0.569256590883045i
132.5,0.0531699214583894+0.0169920344349575i
132.75,1.81960915266777-1.14730110236525i
133,0.594506725588369+1.41058872210069i
133.25,0.738760383840331+1.05689576029454i
133.5,0.203834111865592+0.905047709881416i
133.75,0.0874992924294459+0.232588627868877i
134,0.44212282843156+2.12445979352594i
134.25,0.51855610657056-0.278313015061467i
134.5,-0.288274841098535-0.934778533402026i
134.75,0.913289878104234+1.40951963651999i
135,-0.567911493866908-1.07436712688539i
135.25,-0.854435159162048+1.6739303681958i
135.5,0.969294297267506-0.354913319937307i
135.75,-0.269033686000961-0.527065151603861i
136,1.14218640875611-1.60046345065216i
136.25,-0.138682805285404+0.198918416959792i
136.5,-0.120360863381151-0.16296426955673i
136.75,-0.899843073814931+0.172051703052914i
137,-0.341367700233629+0.484375875579115i
137.25,0.515270518695468-0.14662757778609i
137.5,-1.06157720891163-0.118332591603925i
137.75,-0.998341340594928+1.53322059386452i
138,-0.0250606380020046-2.74602631343303i
138.25,0.075610440273941-3.52157347022016i
138.5,-3.02165666711705-1.88219293073337i
138.75,0.058501402984477-1.27069816233031i
139,-1.77179063613046+1.60726910013451i
139.25,-1.82540610222586-0.198321737871021i
139.5,1.71685521598813+1.14752792018887i
139.75,0.527519633815484+0.199826943102443i
140,2.62444220553909-3.02104988530307i
140.25,0.633637294918567-0.710905052470354i
140.5,0.61441930936909-1.3062107993287i
140.75,-0.740072323521499+0.866411750096769i
141,-2.0020924438768+0.728393311289837i
141.25,-0.818355441867411+1.22078775642401i
141.5,1.571632328347+1.88043458677428i
141.75,0.640616343693841-0.373943592769206i
142,0.47554110849981+0.923284898243287i
142.25,3.51942095236564+0.18055354447017i
142.5,2.83617990547151-1.62399364462924i
142.75,1.51862357691061-0.0135531362323864i
143,0.7670568395892+0.182733626934028i
143.25,-0.42098223269991-0.990582337940763i
143.5,-1.50738264300933-0.639902947909888i
143.75,-3.95014568859462+0.626435114848014i
144,-2.79629767589429-0.680539940262773i
144.25,-1.10139965124648-0.212101219775773i
144.5,-0.0909855249932925+1.33088600921788i
144.75,0.295351189506077+0.281853753652622i
145,0.44785151243398+1.75147248499714i
145.25,1.8563944073525-0.680352729791489i
145.5,1.40300492773709-0.995526177860504i
145.75,0.826787469549351+0.0770195740401332i
146,0.409727266706967-0.296546178742565i
146.25,-1.10367947584026+0.579760270760703i
146.5,-1.04581489246218+0.67278847406508i
146.75,-0.979004539257266+0.537968948403432i
147,-1.80844138275269-0.039484312327471i
147.25,-0.695597169016474+0.340394113942491i
147.5,-1.72964866241536-1.1902627276522i
147.75,0.212196903352571+0.451174135798714i
148,-0.985611139142534+0.525387610708915i
148.25,-2.00773930579838+1.39260344145789i
148.5,-0.883767850442779+0.24840000487889i
148.75,-0.53895714470337-0.373966908245626i
149,0.072825512761267+0.649383982905831i
149.25,1.00142280815044+1.41986358736661i
149.5,0.361253662177029-0.635367734253796i
149.75,-0.654335412260929-1.18969818113141i
150,-1.81675460262854-0.707096787476159i
150.25,-0.824558974231278+0.491754666170861i
150.5,-1.32567139032591+0.984150124480087i
150.75,0.501071536695227+1.53517850248222i
151,-0.176471109422414+1.52338288202354i
151.25,1.70825527378895+0.790771222112045i
151.5,2.05980715186229+0.437608248357105i
151.75,0.856402217952074-0.218681158268039i
152,2.30244609426416+0.89622636481043i
152.25,-0.567265382133642+2.27442499543756i
152.5,-0.844943950138821+1.14401591324101i
152.75,-1.0297999867363+1.45334981748818i
153,0.436682096867855-0.286793803080283i
153.25,1.51498706293+0.476465599114874i
153.5,0.839798858902384-1.05161123658395i
153.75,-0.189912541285497-0.929379475439328i
154,0.876797402578868-0.45002779235561i
154.25,0.598825079118895-0.436908625885244i
154.5,-0.43880683654434+0.833247055501669i
154.75,-0.885849382452852-0.205945797245431i
155,-1.41044190311096-0.732542122551155i
155.25,-0.395984459918342-1.16980574301348i
155.5,-0.636842361302013+0.714208280995636i
155.75,-0.385709742259551+0.411799098024521i
156,-0.175189819599753-0.39619289857493i
156.25,0.461355779046448-0.075155220761943i
156.5,1.52767149484209-1.30730215451695i
156.75,1.72040420411187-1.81168389054087i
157,-0.501403286201906-0.849972237908936i
157.25,-0.388195000798303-1.37518619586617i
157.5,-0.438738203513638-0.749669170119686i
157.75,-1.74849699359632+0.528532387454544i
158,-0.364462865807721+0.265613318956464i
158.25,0.291550777979135+0.451877898418446i
158.5,0.636573527910674+0.487864912368503i
158.75,1.29460440388931+0.412557689197773i
159,0.326468226168346+2.52443261195293i
159.25,-0.207535378354254+0.75437058101793i
159.5,0.155255098865167-0.389444571236251i
159.75,0.695550893346594-2.3099631996564i
160,-2.18482151333348-3.41095016004105i
160.25,-1.19234245446293+0.323673461230872i
160.5,-2.34446756685192+0.153656524526434i
160.75,0.52520709701866+0.270244487560333i
161,-1.22328023170846-0.292781295836058i
161.25,0.985020891218198+1.20720160354152i
161.5,1.06375442805971+1.42086153502847i
161.75,-0.980663599697117+2.37141138374939i
162,0.234170700956833+2.58135221804889i
162.25,-0.513189245849722+1.69233910943958i
162.5,-1.49581517376993+1.23652750530811i
162.75,-0.873681093946724-2.32871940724419i
163,-0.509828130434964-1.57731705713618i
163.25,-0.172934372913145-0.505428189463595i
163.5,-1.69100691428516-0.646492940159774i
163.75,-1.46687977483581+0.309623239729925i
164,-0.852995848496262+1.32840409810512i
164.25,-2.26010265348679+1.16583803183081i
164.5,-1.51087133885543+2.05536187897912i
164.75,-3.67028489048153+1.85412647941435i
165,-0.112549089083387+0.422731489351071i
165.25,0.801388958187733+1.64537547473072i
165.5,1.35393827194595-0.0662504728901814i
165.75,1.04809897558408-0.642729117424387i
166,1.37977755320798-1.56314824086945i
166.25,0.867064747424428+0.857563433018589i
166.5,0.281880260602828-0.593388370166403i
166.75,-0.653382098601844+1.44736429858089i
167,-1.26039523396148+1.72448084388986i
167.25,-2.49812581517006+1.30725089278241i
167.5,-2.90313311888411-0.326274271924648i
167.75,-2.23842562429152-1.34707476095564i
168,-1.07701503172625+0.233869938397465i
168.25,-0.335000665843584+0.29028586199717i
168.5,0.0542398706162494-1.65643596760108i
168.75,0.759505988201582+0.584438277408492i
169,-0.0586824311435746+2.11133171600921i
169.25,-1.54605522160068+2.19237010934833i
169.5,-0.518141813463055-0.428268223822805i
169.75,-0.648475561969945+0.379666239623324i
170,0.838073100293512-0.435068269589131i
170.25,-1.14368294954635+0.43885589055924i
170.5,2.41774928721016+0.165895870254745i
170.75,2.35721334994641-0.00697068106993864i
171,1.79519369369185-1.28544990546524i
171.25,2.07087946372305+1.82482845742534i
171.5,-0.636238656582239+0.881137762004044i
171.75,-1.46531258025859-0.979026331164715i
172,-1.04838384654374+0.199398294528109i
172.25,-2.31305886684516-1.16588943570751i
172.5,-3.40099563083774+1.43687627105016i
172.75,-3.26459959742643+1.55219350746265i
173,0.741900653528641+0.745199742503078i
173.25,-1.0934427665529+4.00373967351286i
173.5,-2.25897744008238+3.93583462118751i
173.75,-0.167361362999745+1.64085490450912i
174,-0.340269607285582+1.76540820650513i
174.25,1.3693553796684+1.10421821635808i
174.5,1.26093838910032-0.653823303010012i
174.75,0.321700824189925-0.00186418968137819i
175,3.85639815505646-1.27823693353796i
175.25,2.24853483788105-1.37624670201096i
175.5,1.53190180053552-1.13209217869359i
175.75,-1.59048356383556-1.11084290045888i
176,-1.77659319522476-1.29947256444894i
176.25,-1.72735314132301-0.495720741426652i
176.5,-2.10686056707169-1.52897034152201i
176.75,-0.581196102473811-1.32724906187461i
177,-1.5953311933367-1.27875302987591i
177.25,-1.08966981588628-0.285265133005333i
177.5,1.22756365875014-0.401538587518373i
177.75,-0.212368966740751-1.07302558608125i
178,1.64036604064279+1.13711988269865i
178.25,-0.488116860654038+0.712988085498667i
178.5,-2.43344541544803+1.54563693532486i
178.75,-1.98596569639571+1.88820587943184i
179,-2.47978289613827+2.02422259343724i
179.25,-3.11895235680112+0.307264220097553i
179.5,-0.626146291761292+2.15438182826078i
179.75,-0.735580008633535+1.50816756384505i
180,0.239106054123497-0.917692258488512i
180.25,0.34509964478732+0.272571843972227i
180.5,1.27980673684135-1.47025284969924i
180.75,1.14972269738693+0.0666353074566176i
181,0.671056489999065+1.25503595847428i
181.25,1.24250804386206-0.156159226006087i
181.5,-0.33549598338177+0.436584875584467i
181.75,-0.147474106829146+1.92062969570749i
182,1.39496135078824-0.0219188421856328i
182.25,0.84705437280007+0.572996105895802i
182.5,1.30376599697051-1.2865625173343i
182.75,-0.382367263488098-0.413048051528459i
183,-1.3061202467177-0.961539297448564i
183.25,-2.1200856325592-0.0135950437515798i
183.5,-1.83433679409218+1.68096768305071i
183.75,-0.765613940088554+0.201972399864828i
184,0.361525110621021-1.05399893912982i
184.25,-1.74746961328981-0.00396306730439983i
184.5,-1.22734950849591-0.354675838849208i
184.75,-2.76272387442746-0.451459162218544i
185,-1.07450302848359+0.936776426479975i
185.25,-1.82141043134866-0.682525310323718i
185.5,-0.803716049541836-0.542182531628963i
185.75,-1.17145374262403-0.0845123829515103i
186,-4.20391314040496+0.994283128871151i
186.25,-1.49890151677361+1.42616281225287i
186.5,-0.78473992052393+1.09125842669781i
186.75,-1.7996586417032+1.94359952526985i
187,0.362055472205461+1.62301390693235i
187.25,-0.984515395283043+1.54691110494352i
187.5,0.291266655469507+0.662659920633892i
