Coord,AbsComplVal,RealComplVal,ImagComplVal
0,0.210013696783152,0.0231148195659331,-0.208737773181952
0.25,0.118442430673943,-0.0119843941192852,0.117834560641373
0.5,0.088410893370025,-0.0862071804031848,-0.0196165265380666
0.75,0.05263364338907,0.0161450809905492,-0.0500962750732666
1,0.264955423179067,-0.198794470479588,0.175163166158694
1.25,0.17026064641474,6.10319927455567e-06,0.170260646305352
1.5,0.145007435068113,-0.139111901258258,-0.040927193323578
1.75,0.148925732870837,0.0244654256219741,0.146902405903551
2,0.0705295453908432,0.0342868993706797,0.0616346112552346
2.25,0.19493414063615,-0.0746164081594975,-0.180088064065694
2.5,0.113544545740498,-0.0842813804421659,0.076085562218984
2.75,0.305318956734468,-0.0198016991065484,-0.304676152748977
3,0.206759496369923,0.192815848391056,-0.0746427354025922
3.25,0.114350795195918,0.0822546532017391,0.07943724811825
3.5,0.277739308779077,0.277166168887033,0.017833632988377
3.75,0.0288986748983568,-0.0149787058065681,0.0247137974265632
4,0.0498530326545343,0.0467607547639559,0.0172845792184605
4.25,0.0551551427595294,0.051500452457377,-0.0197431803291548
4.5,0.407959276973494,0.272851493644988,-0.303286719268146
4.75,0.191860384516184,0.174669413566631,-0.0793788580856835
5,0.184302726749235,0.177442327781577,-0.0498168184317144
5.25,0.0485539081620058,0.0483054939269758,0.00490522723993477
5.5,0.172339829831166,-0.137854696454079,0.103426783822127
5.75,0.312031205557874,0.244504626865203,0.193858094191107
6,0.197835836441527,-0.167932003343715,0.104584226504216
6.25,0.141935749995855,0.125850933519372,0.0656300210207846
6.5,0.173950256350431,0.0369081843881078,-0.169989639712408
6.75,0.0883726032595613,0.068158327215953,0.0562508616644661
7,0.401709226113162,0.392499131542799,-0.0855262186851704
7.25,0.0854475295404487,-0.0150140392272297,0.0841181248640807
7.5,0.165312499103112,-0.0243067914550711,0.163515755353654
7.75,0.110686758333616,-0.00540169360331291,0.110554874051849
8,0.146994696584586,-0.10951149957852,0.0980544353104866
8.25,0.127775201839895,0.0111763420600221,-0.127285472790037
8.5,0.0699829444056619,-0.0684054794059859,-0.0147750768161524
8.75,0.293650341961235,-0.16025802220189,-0.246064807832995
9,0.0461873078338472,0.0429318675262087,0.0170329726017109
